batch_size,time,memory_mb
2000,0.023715,2.55
3072,0.000902,3.77
4096,0.000730,4.93
5120,0.001011,6.09
6144,0.000933,7.26
8192,0.001013,9.60
10240,0.001005,11.93
12288,0.000637,14.29
16384,0.001039,18.95
20480,0.000744,22.94
24576,0.000775,25.72
32768,0.001003,30.77
